committee_name,election_cycle,count,party
NIKKI HALEY FOR PRESIDENT INC.,2016,5,Republican
NIKKI HALEY FOR PRESIDENT INC.,2018,5,Republican
NIKKI HALEY FOR PRESIDENT INC.,2020,5,Republican
NIKKI HALEY FOR PRESIDENT INC.,2022,5,Republican
NIKKI HALEY FOR PRESIDENT INC.,2024,5,Republican
SENATE CONSERVATIVES FUND,2016,5,Republican
SENATE CONSERVATIVES FUND,2018,5,Republican
SENATE CONSERVATIVES FUND,2020,5,Republican
SENATE CONSERVATIVES FUND,2022,5,Republican
SENATE CONSERVATIVES FUND,2024,5,Republican
SWING LEFT,2016,5,Democrat
SWING LEFT,2018,5,Democrat
SWING LEFT,2020,5,Democrat
SWING LEFT,2022,5,Democrat
SWING LEFT,2024,5,Democrat
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2016,5,Republican
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2018,5,Republican
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2020,5,Republican
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2022,5,Republican
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,2024,5,Republican
CHERI BEASLEY FOR NORTH CAROLINA,2016,4,Democrat
CHERI BEASLEY FOR NORTH CAROLINA,2018,4,Democrat
CHERI BEASLEY FOR NORTH CAROLINA,2020,4,Democrat
CHERI BEASLEY FOR NORTH CAROLINA,2022,4,Democrat
CHERI BEASLEY FOR NORTH CAROLINA,2024,4,Democrat
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,2016,4,Democrat
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,2018,4,Democrat
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,2020,4,Democrat
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,2022,4,Democrat
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,2024,4,Democrat
EMILYS LIST,2016,4,Democrat
EMILYS LIST,2018,4,Democrat
EMILYS LIST,2020,4,Democrat
EMILYS LIST,2022,4,Democrat
EMILYS LIST,2024,4,Democrat
FETTERMAN FOR PA,2016,4,Democrat
FETTERMAN FOR PA,2018,4,Democrat
FETTERMAN FOR PA,2020,4,Democrat
FETTERMAN FOR PA,2022,4,Democrat
FETTERMAN FOR PA,2024,4,Democrat
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,2016,4,Democrat
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,2018,4,Democrat
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,2020,4,Democrat
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,2022,4,Democrat
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,2024,4,Democrat
PROGRESSIVE TURNOUT PROJECT,2016,4,Democrat
PROGRESSIVE TURNOUT PROJECT,2018,4,Democrat
PROGRESSIVE TURNOUT PROJECT,2020,4,Democrat
PROGRESSIVE TURNOUT PROJECT,2022,4,Democrat
PROGRESSIVE TURNOUT PROJECT,2024,4,Democrat
SCALISE FOR CONGRESS,2016,4,Republican
SCALISE FOR CONGRESS,2018,4,Republican
SCALISE FOR CONGRESS,2020,4,Republican
SCALISE FOR CONGRESS,2022,4,Republican
SCALISE FOR CONGRESS,2024,4,Republican
SMP,2016,4,Democrat
SMP,2018,4,Democrat
SMP,2020,4,Democrat
SMP,2022,4,Democrat
SMP,2024,4,Democrat
THE LINCOLN PROJECT,2016,4,Republican
THE LINCOLN PROJECT,2018,4,Republican
THE LINCOLN PROJECT,2020,4,Republican
THE LINCOLN PROJECT,2022,4,Republican
THE LINCOLN PROJECT,2024,4,Republican
TIM RYAN FOR OHIO,2016,4,Democrat
TIM RYAN FOR OHIO,2018,4,Democrat
TIM RYAN FOR OHIO,2020,4,Democrat
TIM RYAN FOR OHIO,2022,4,Democrat
TIM RYAN FOR OHIO,2024,4,Democrat
VAL DEMINGS FOR U.S. SENATE,2016,4,Democrat
VAL DEMINGS FOR U.S. SENATE,2018,4,Democrat
VAL DEMINGS FOR U.S. SENATE,2020,4,Democrat
VAL DEMINGS FOR U.S. SENATE,2022,4,Democrat
VAL DEMINGS FOR U.S. SENATE,2024,4,Democrat
WARNOCK VICTORY FUND,2016,4,Democrat
WARNOCK VICTORY FUND,2018,4,Democrat
WARNOCK VICTORY FUND,2020,4,Democrat
WARNOCK VICTORY FUND,2022,4,Democrat
WARNOCK VICTORY FUND,2024,4,Democrat
AUDREY DENNEY FOR CONGRESS,2016,3,Democrat
AUDREY DENNEY FOR CONGRESS,2018,3,Democrat
AUDREY DENNEY FOR CONGRESS,2020,3,Democrat
AUDREY DENNEY FOR CONGRESS,2022,3,Democrat
AUDREY DENNEY FOR CONGRESS,2024,3,Democrat
CARSON AMERICA,2016,3,Republican
CARSON AMERICA,2018,3,Republican
CARSON AMERICA,2020,3,Republican
